"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Create user","LMS service","Wed Apr 01 13:42:40 UTC 2026","passed","Wed Apr 01 13:42:41 UTC 2026","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Wed Apr 01 13:42:39 UTC 2026","passed","Wed Apr 01 13:42:39 UTC 2026","Validate entity","Files","",""
"","537","Create user","LMS service","Wed Apr 01 13:42:40 UTC 2026","passed","Wed Apr 01 13:42:40 UTC 2026","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Wed Apr 01 13:42:38 UTC 2026","passed","Wed Apr 01 13:42:38 UTC 2026","Validate entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Wed Apr 01 13:42:40 UTC 2026","passed","Wed Apr 01 13:42:40 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Wed Apr 01 13:42:35 UTC 2026","passed","Wed Apr 01 13:42:35 UTC 2026","Get entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Wed Apr 01 13:42:32 UTC 2026","passed","Wed Apr 01 13:42:32 UTC 2026","Login","Authentication","",""
"","20","Create exercise","LMS service","Wed Apr 01 13:42:34 UTC 2026","passed","Wed Apr 01 13:42:34 UTC 2026","Create entity","Exercises","",""
"","36","Update course","LMS service","Wed Apr 01 13:42:34 UTC 2026","passed","Wed Apr 01 13:42:34 UTC 2026","Update entity","Courses","",""
"","24","Update exercise","LMS service","Wed Apr 01 13:42:35 UTC 2026","passed","Wed Apr 01 13:42:35 UTC 2026","Update entity","Exercises","",""
"","288","Create user","LMS service","Wed Apr 01 13:42:40 UTC 2026","passed","Wed Apr 01 13:42:40 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Wed Apr 01 13:42:41 UTC 2026","passed","Wed Apr 01 13:42:41 UTC 2026","Get entities","Users","",""
"","299","Get course","LMS service","Wed Apr 01 13:42:32 UTC 2026","passed","Wed Apr 01 13:42:33 UTC 2026","Get entities","Courses","",""
"","26","Delete file","LMS service","Wed Apr 01 13:42:40 UTC 2026","passed","Wed Apr 01 13:42:40 UTC 2026","Delete entity","Files","",""
"","289","Get file","LMS service","Wed Apr 01 13:42:37 UTC 2026","passed","Wed Apr 01 13:42:38 UTC 2026","Get entity","Files","",""
"","31","Create course","LMS service","Wed Apr 01 13:42:33 UTC 2026","passed","Wed Apr 01 13:42:33 UTC 2026","Create entity","Courses","",""
"","14","Get exercises","LMS service","Wed Apr 01 13:42:36 UTC 2026","passed","Wed Apr 01 13:42:36 UTC 2026","Get entities","Exercises","",""
"","265","Create file","LMS service","Wed Apr 01 13:42:37 UTC 2026","passed","Wed Apr 01 13:42:37 UTC 2026","Create entity","Files","",""
"","26","Delete exercise","LMS service","Wed Apr 01 13:42:36 UTC 2026","passed","Wed Apr 01 13:42:36 UTC 2026","Delete entity","Exercises","",""
